,date,dew_point,max_temp,max_temp_flag,min_temp,min_temp_flag,precip,precip_flag,sea_level_pressure
87,1947-01-04,-2.1,12.4,*,-3.6,*,99.99, ,1034.4
88,1947-01-05,-6.0,15.4,*,0.3,*,99.99, ,1021.6
89,1947-01-06,13.5,31.3,*,14.4,*,0.0,I,1020.4
90,1947-01-07,21.4,33.4,*,20.3,*,0.0,I,1012.9
91,1947-01-08,19.6,35.4,*,17.4,*,0.0,I,1017.3
92,1947-01-09,12.7,27.3,*,12.4,*,99.99, ,1025.1
93,1947-01-10,23.0,37.4,*,21.4,*,0.0,I,1018.3
94,1947-01-11,32.8,38.3,*,34.3,*,0.0,I,1007.1
95,1947-01-12,22.1,35.4,*,24.4,*,0.0,I,1018.2
96,1947-01-13,29.8,39.4,*,29.3,*,99.99, ,1014.1
97,1947-01-14,40.4,49.3,*,33.4,*,99.99, ,1006.9
98,1947-01-15,27.8,40.3,*,25.3,*,0.0,I,1018.7
99,1947-01-16,22.7,34.3,*,22.5,*,99.99, ,1021.2
100,1947-01-17,20.3,40.3,*,22.5,*,0.0,I,1028.0
101,1947-01-18,25.6,47.3,*,23.4,*,0.0,I,1025.9
102,1947-01-19,25.9,46.4,*,25.3,*,0.0,I,1015.9
103,1947-01-20,28.8,36.3,*,26.4,*,99.99, ,998.2
104,1947-01-21,-4.5,26.4,*,-0.6,*,0.0,I,1017.9
105,1947-01-22,-1.2,25.3,*,1.4,*,0.0,I,1028.8
106,1947-01-23,23.2,49.3,*,16.3,*,0.0,I,1013.7
107,1947-01-24,36.7,48.4,*,37.4,*,0.0,I,1006.3
108,1947-01-25,35.2,45.3,*,30.4,*,0.0,I,1009.0
109,1947-01-26,30.8,44.4,*,27.3,*,0.0,I,1006.1
110,1947-01-27,34.6,47.3,*,34.3,*,99.99, ,1006.0
111,1947-01-28,19.8,38.3,*,20.3,*,0.0,I,1019.8
112,1947-01-29,27.8,34.3,*,29.3,*,99.99, ,1012.6
113,1947-01-30,29.2,35.4,*,28.0,*,99.99, ,995.0
114,1947-01-31,14.9,32.4,*,16.3,*,99.99, ,1011.5
115,1947-02-01,11.7,27.3,*,9.3,*,99.99, ,1023.9
116,1947-02-02,-4.9,24.4,*,-4.5,*,0.0,I,1030.6
117,1947-02-03,23.2,40.3,*,23.4,*,0.0,I,1010.7
118,1947-02-04,-10.5,20.3,*,-0.6,*,99.99, ,1013.0
119,1947-02-05,-12.0,10.4,*,-1.7,*,0.0,I,1011.5
120,1947-02-06,-4.5,19.4,*,4.5,*,99.99, ,1000.9
121,1947-02-07,-2.1,17.4,*,2.5,*,99.99, ,999.5
122,1947-02-08,-4.4,13.5,*,2.5,*,99.99, ,1007.7
123,1947-02-09,-1.4,15.4,*,5.4,*,0.0,I,1014.9
124,1947-02-10,4.4,22.5,*,8.4,*,0.0,I,1020.9
125,1947-02-11,13.8,32.4,*,11.3,*,0.0,I,1027.5
