stationID,STATION NAME,LAT,LON,ELEV(M),BEGIN,END
726436-94930,VOLK FIELD AIRPORT,43.933,-90.267,278.0,19611001,20200204
726440-14925,ROCHESTER INTERNATIONAL AIRPORT,43.904,-92.492,397.5,19730101,20200204
726450-14898,AUSTIN STRAUBEL INTERNATIONAL AP,44.479,-88.137,209.4,19500101,20200204
726455-99999,MANITOWOC CO,44.133,-87.683,198.0,19730101,20051231
726456-99999,WITTMAN RGNL,43.983,-88.55,246.0,19730101,20051231
726465-99999,CENTRAL WISCONSIN,44.783,-89.667,389.0,19730101,20051231
726487-99999,MENOMINEE MARINETTE,45.127,-87.638,191.0,19730101,20041231
726580-14922,MINNEAPOLIS-ST PAUL INTERNATIONAL AP,44.883,-93.229,265.8,19450101,20200204
726584-14927,ST PAUL DWTWN HOLMAN FD AP,44.932,-93.056,213.4,19831103,20200204
726585-99999,MANKATA RGNL ARPT,44.223,-93.919,311.0,19730101,20051231
726626-99999,LANGLADE CO,45.15,-89.117,464.0,19730101,20051231
744214-99999,MARION MUNI,40.49,-85.68,261.8,19810805,20180516
744650-99999,DUNNE CRIB IL.,41.783,-87.533,-999.9,19430927,19760130
746710-13806,CAMPBELL AAF AIRPORT,36.667,-87.483,174.7,19430715,20200205
746716-93808,BOW GRN-WARREN CO. RGNL AP,36.965,-86.424,160.9,19730101,20200205
994330-99999,SHEBOYGAN  WI,43.75,-87.69,175.9,19850501,20200203
999999-3868,TERRE HAUTE HULMAN FIELD ANG,39.452,-87.309,180.7,19611003,20041231
999999-14855,NAVAL AIR STATION,42.083,-87.833,196.9,19450315,20031231
999999-14937,IOWA CITY MUNICIPAL AP,41.633,-91.543,203.6,19490101,19961231
999999-93816,EFFINGHAM COUNTY MEMORIAL ARPT,39.07,-88.533,178.9,19481201,20200204
