"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-01-28","0.79","83","90",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-02-06","0.16","82",,
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-02-09","0.39","89",,"77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-02-20","0.35","82",,"70"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-02-21","0.00","83","91",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-02-22",,"81","91","68"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-02-26",,"87","95",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-02-27",,"87","95","73"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-03-04",,"87","95","73"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-03-11","0.08","87","93","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-03-14",,"89","97","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-03-15",,"89",,"77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-03-19",,"89",,"79"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-03-21",,"87",,"75"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-03-22",,"89","95","75"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-03-23",,"88","95",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-03-26",,"86",,
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-04-01",,"87","95",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-04-14",,"91","99","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-04-17",,"89",,"77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-04-23",,"89","97","79"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-04-26",,"88","95","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-05-01","0.79","87","95","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-05-03","0.39","84","95","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-05-08","0.02","87","95","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-05-17","0.02","85","93","79"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-05-18","0.28","85",,
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-05-19","0.39","89","93",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-05-20","0.02","88","95","79"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-05-30","0.04","88","95","79"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-05-31","0.31","79","82","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-06-01",,"84","93","77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-06-07","0.35","86","91","79"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-06-13","0.24","82","91",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-06-14","0.04","83","91","79"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-06-16",,"80",,"79"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-06-18","0.47","86",,
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-06-20","1.22","78",,
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-06-22","0.04","84",,"77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-06-23","0.02","84","90",
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-07-12","0.08","90",,"77"
"CBM00048991","PHNOM PENH INTERNATIONAL, CB","11.547","104.844","12.2","1952-07-13","0.08","84","95",
